total.voter,total.vote,valid.vote,opened.ballot,total.ballot,EVET.vote,EVET.ratio,HAYIR.vote,HAYIR.ratio,district.LAU,voter.count.Haziran,voted.count.Haziran,unchallenged.valid.vote.count.Haziran,challenged.valid.vote.count.Haziran,total.valid.vote.count.Haziran,invalid.vote.count.Haziran,AKP.Haziran,CHP.Haziran,HDP.Haziran,MHP.Haziran,voter.count.Kasim,voted.count.Kasim,unchallenged.valid.vote.count.Kasim,challenged.valid.vote.count.Kasim,total.valid.vote.count.Kasim,invalid.vote.count.Kasim,AKP.Kasim,CHP.Kasim,HDP.Kasim,MHP.Kasim,AKP.2018meclis,MHP.2018meclis,CHP.2018meclis,IYI.2018meclis,SP.2018meclis,HDP.2018meclis,VP.2018meclis,HUDAPAR.2018meclis,BGMSZ.2018meclis,voter.count.2018meclis,voted.count.2018meclis,total.valid.vote.count.2018meclis,invalid.vote.count.2018meclis,INCE.2018cb,AKSENER.2018cb,ERDOGAN.2018cb,DEMIRTAS.2018cb,KARAMOLLAOGLU.2018cb,PERINCEK.2018cb,voter.count.2018cb,voted.count.2018cb,total.valid.vote.count.2018cb,invalid.vote.count.2018cb,province.name,province.name.ascii,province.HASC,province.iso3166.2,province.iso3166.2.character,province.NUTS3,province.FIPS,province.population.2007,province.area.km2,region.code,district.name,district.name.ascii,district.name.ascii.normalized
5429,4950,4900,22,22,2889,5896,2011,4104,1808,5611,5152,5044,0,5044,108,2410,1494,91,789,5564,5131,5064,0,5064,67,2858,1516,43,476,2581,513,1176,479,65,57,8,8,1,5352,5017,4888,129,1330,420,3049,50,41,8,5352,5017,4898,119,eskişehir,eskisehir,TR.ES,26,26,TR412,TU26,724849,13652,CA,inönü,inonu,inonu
5774,4990,4871,27,27,2176,4467,2695,5533,1508,6019,5187,5067,0,5067,120,1627,1715,611,884,5933,5137,5039,5,5044,93,1953,1716,446,722,1888,401,1389,652,46,446,12,15,3,5764,5030,4852,178,1622,604,2216,362,30,17,5764,5030,4851,179,eskişehir,eskisehir,TR.ES,26,26,TR412,TU26,724849,13652,CA,mahmudiye,mahmudiye,mahmudiye
2682,2447,2374,10,10,1551,6533,823,3467,1973,2859,2528,2458,0,2458,70,1270,637,22,296,2774,2495,2434,1,2435,60,1513,550,6,228,1397,191,407,268,92,10,6,6,0,2642,2449,2377,72,484,244,1555,10,76,4,2642,2449,2373,76,eskişehir,eskisehir,TR.ES,26,26,TR412,TU26,724849,13652,CA,mihalgazi,mihalgazi,mihalgazi
6970,5719,5567,59,59,2916,5238,2651,4762,1527,7396,6201,5973,23,5996,205,2456,2027,43,1137,7276,6051,5903,0,5903,148,2902,1744,31,932,2485,850,1371,826,80,51,30,29,0,7e3,5949,5722,227,1533,861,3188,53,66,11,7e3,5949,5712,237,eskişehir,eskisehir,TR.ES,26,26,TR412,TU26,724849,13652,CA,mihalıççık,mihaliccik,mihaliccik
292054,261299,257235,774,774,103175,4011,154060,5989,2046,280716,247755,241400,1517,242917,4838,83176,100823,8141,40385,282800,251825,247959,792,248751,3074,102362,102489,6064,31296,94421,25161,91901,34940,2913,10520,583,251,120,296082,265075,260810,4265,115093,24074,114679,4166,2050,563,296082,265053,260625,4428,eskişehir,eskisehir,TR.ES,26,26,TR412,TU26,724849,13652,CA,odunpazarı,odunpazari,odunpazari
4066,3637,3580,15,15,2479,6925,1101,3075,1599,4246,3720,3637,0,3637,83,2123,741,50,557,4074,3662,3595,0,3595,67,2378,676,33,378,2149,325,581,351,44,35,13,10,2,4060,3627,3510,117,691,312,2460,28,23,8,4060,3625,3522,103,eskişehir,eskisehir,TR.ES,26,26,TR412,TU26,724849,13652,CA,sarıcakaya,saricakaya,saricakaya
10864,9919,9693,62,62,4787,4939,4906,5061,1618,11411,10362,10104,0,10104,258,4185,4138,111,1209,11267,10317,10081,0,10081,236,4828,3970,72,906,4466,799,3147,993,48,173,31,21,2,10793,9993,9680,313,3534,878,5161,54,37,15,10793,9996,9679,317,eskişehir,eskisehir,TR.ES,26,26,TR412,TU26,724849,13652,CA,seyitgazi,seyitgazi,seyitgazi
16540,13769,13512,93,93,7153,5294,6359,4706,1632,17104,14573,14254,0,14254,319,5818,3881,574,3099,16963,14343,14084,0,14084,259,7002,4032,373,2008,6443,1617,2729,2154,117,425,59,45,5,16303,14074,13594,480,3316,2081,7769,358,93,33,16303,14079,13650,429,eskişehir,eskisehir,TR.ES,26,26,TR412,TU26,724849,13652,CA,sivrihisar,sivrihisar,sivrihisar
260193,232776,229503,692,692,94429,4114,135074,5886,2047,246038,217115,212595,472,213067,4048,75098,84214,8697,36293,247765,219843,217058,0,217058,2785,92143,84221,6405,28369,88056,22357,75602,32209,2708,9680,538,307,137,265431,235873,231594,4279,96724,22018,106057,4478,1835,535,265431,235890,231647,4243,eskişehir,eskisehir,TR.ES,26,26,TR412,TU26,724849,13652,CA,tepebaşı,tepebasi,tepebasi
19831,16562,16213,79,79,10828,6679,5385,3321,1139,19635,16029,15580,1,15581,448,7589,2674,3147,1457,19529,16539,16225,0,16225,314,10359,2305,2015,1122,8984,2232,1960,884,222,2377,45,113,0,20271,17320,16817,503,2995,836,11263,1486,191,44,20271,17320,16815,505,gaziantep,gaziantep,TR.GA,27,27,TRC11,TU83,1560023,6207,SE,araban,araban,araban
